casistica;descrizione_casistica;cosa_fare;url_prodotto;title;categorie_assegnate;primaria_attuale_in_yoast;primaria_da_impostare;percorso_finale_atteso;url_primaria_da_impostare;percorso_visibile_oggi;regola_applicata;note
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/album-portafoto-in-pelle-rossa-con-placca-in-argento-laminato-tocco-e-pergamena-a-tema-laurea/;Album in Pelle Rossa Laurea con Placca in Argento Laminato;Idee Regalo Originali e Artigianali;(nessuna);Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/applicazione-laurea-gufo-per-confettata-in-resina-da-appoggio/;Applicazione Laurea Gufo per Confettata da appoggio;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/applicazione-laurea-mappamondo-e-libro-per-confettata-in-resina-da-appoggio/;Applicazione Laurea Mappamondo e Libro | Albalù;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/applicazione-laurea-per-confettata-in-resina-da-appoggio-e-calamita/;Applicazione Laurea Gufetti per Confettata | Albalù;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/applicazione-laurea-pergamena-e-tocco-per-confettata-in-resina-da-appoggio/;Applicazione Laurea Pergamena e Tocco | Albalù;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/barattolino-portaconfetti-in-vetro-con-tappo-in-sughero-e-applicazione-goccia-in-cristallo/;Barattolino Laurea con Goccia Cristallo | Albalù;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-battesimo-albero-della-vita-unicorno/;Bomboniera Battesimo Albero della Vita Unicorno | Albalù;Bomboniere Battesimo Personalizzate;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere Battesimo Personalizzate;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-battesimo-carillon-musicale-orso-a-dondolo-in-resina/;Bomboniera Battesimo Carillon Musicale Orso a Dondolo;Bomboniere Compleanno | Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione;(nessuna);Bomboniere tema animali per ogni occasione;Bomboniere per tema > Bomboniere tema animali per ogni occasione;https://www.albalu.it/categoria-prodotto/bomboniere-per-tema/bomboniere-tema-animali/;Bomboniere per tema > Bomboniere tema animali per ogni occasione;multievento (Battesimo, Compleanno) -> tema/tipologia;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-battesimo-orologio-angelo-sagomato/;Bomboniera Battesimo Orologio Angelo | Albalù;Bomboniere Battesimo Personalizzate | Bomboniere Religiose e Sacre;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per tema > Bomboniere Religiose e Sacre;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-battesimo-piantina-grassa-vasetto-personalizzabile/;Bomboniera Battesimo Piantina Grassa Vasetto Personalizzabile;Bomboniere Battesimo Bimba | Bomboniere Battesimo Maschio | Bomboniere Battesimo Personalizzate | Bomboniere Piante Grasse Personalizzabili;(nessuna);Bomboniere Battesimo Bimba;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Bimba;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-battesimo-bimba/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere con Piante Grasse Vere Confezionate;evento singolo (Battesimo) -> categoria evento;
